,,,,,
,,,Data Manipulation Queries,,
,No,Query,Result,Accuracy w/o interaction,Accuracy w/ interaction
,1,Get the multiplication results of columns X and Y from dataset Z.,Get the multiplication results of columns X and Y from dataset Z.,1,1
,2,"For input dataset1.csv, select columns representing performance metrics named “GPU cycles” and “memory utilization rates” about kernel named “function 1”, store the results into dataset1-filtered.csv","[(""For input dataset1.csv , select columns representing performance metrics <hpc:name `` <schema:domainIncludes hpc:Gpu> cycles ''> and `` <schema:domainIncludes hpc:Memory> utilization rates '' about kernel <hpc:name `` function 1 ''> , store results into dataset1-filtered ."", None), (""For input dataset1.csv , select columns representing performance metrics <hpc:name `` <schema:domainIncludes hpc:Gpu> cycles ''> and `` <schema:domainIncludes hpc:wgSize> utilization rates '' about kernel <hpc:name `` function 1 ''> , store results into dataset1-filtered ."", None), (""For input dataset1.csv , select columns representing performance metrics <hpc:name `` <schema:domainIncludes hpc:Gpu> cycles ''> and `` <schema:domainIncludes hpc:localMem> utilization rates '' about kernel <hpc:name `` function 1 ''> , store results into dataset1-filtered ."", None)]",0,1
,3,"Select  benchmark_name, gpu_type, execution_time from any dataset where:“Hardware” contains “GPU” “Software” contains “Benchmark”","[(""Select : benchmark _ <hpc:name> , <schema:domainIncludes hpc:Gpu> _ <hpc:modelType> , execution _ time from dataset where : `` Hardware '' contains `` <schema:domainIncludes hpc:Gpu> '' `` Software '' contains `` Benchmark ''"", None), (""Select : benchmark _ <hpc:name> , <schema:domainIncludes hpc:Gpu> _ <hpc:learningType> , execution _ time from dataset where : `` Hardware '' contains `` <schema:domainIncludes hpc:Gpu> '' `` Software '' contains `` Benchmark ''"", None)]",0,1
,4,return all the column names of this dataset.,return all column <hpc:name> of dataset .,0,1
,5,Get the dataset X from dataset Y without column ‘Memory Frequency’.,"Get dataset X from dataset Y without column ""<schema:domainIncludes hpc:Memory> <schema:domainIncludes hpc:cpuFrequency>"" .",0,1
,6,"Select X1,X2 from dataset A and Y1, Y2 from dataset B then merge them into dataset C","Select X1 , X2 from dataset A and Y1 , Y2 from dataset B then merge into them into dataset C",1,1
,7,Get the normalized results for column X from dataset A.,"Get <hpc:modelType normalized results for column X from dataset A>
Get <hpc:modelFormat normalized results for column X from dataset A>",0,1
,8,Get the encoding results for column X from dataset A.,Get encoding results for column X from dataset A,1,1
,9,Convert data file X to CSV format type.,Convert data file X to CSV <hpc:modelFormat <hpc:modelType>,0,1
,10,Convert data file Y to JSON format type.,Convert data file Y to JSON <hpc:modelFormat <hpc:modelType>,0,1
,11,"Get the merging results of columns X,Y,Z from dataset W.","Get merging results of columns X , Y , Z from dataset W",1,1
,12,Get count of column X from dataset A Group By ‘Model’.,Get count of column X from dataset A Group By Model,1,1
,13,Get count of column X from dataset A Group By ‘Model’ and ‘Bench Number’.,"Get count of column X from dataset A Group By ""Model"" and Bench <hpc:version>
Get count of column X from dataset A Group By ""Model"" and Bench <hpc:license>",0,1
,14,merge dataset X with dataset Y,merge dataset X with dataset Y,1,1
,15,get encoding result for column X from file A with type one hot encoding,get encoding result for column X with from file A with from <hpc:modelType> one hot encoding,0,1
,16,Get all columns from dataset Y without column ‘Memory Frequency’.,"et columns from dataset Y without column ""<schema:domainIncludes hpc:Memory> <schema:domainIncludes hpc:cpuFrequency>""
Get columns from dataset Y without column ""<schema:domainIncludes hpc:Memory> <schema:domainIncludes hpc:coprocessorSpeed>""
Get columns from dataset Y without column ""<schema:domainIncludes hpc:wgSize> <schema:domainIncludes hpc:cpuFrequency>""",0,1
,17,Get all columns from dataset Y,Get columns from dataset Y,1,1
,,,,,
,,,Ontology Related cases: Simple,,
,No,Query,Result,Accuracy w/o interaction,Accuracy w/ interaction
,1,get AI model that has model type  'prediction',"get AI model that has model <hpc:modelType> ""prediction""",1,1
,2,get AI model having model type 'prediction' and target machine named 'lassen',"get AI model having model <hpc:modelType> ""prediction"" and <hpc:targetMachine <hpc:targetMachine <hpc:name ""lassen"">>>",1,1
,3,get AI model having model type 'classification',"get AI model having model <hpc:modelType> ""classification""",1,1
,4,get ai model with model format 'python',"get ai model with model <hpc:modelFormat> ""python""",1,1
,5,list of  AI models with format 'python notebook',"list of AI models with <hpc:modelFormat> ""python notebook""",1,1
,6,get AI model with version '1.2.1' and learning type 'Supervised',"get AI model with <hpc:version""> 1.2.1"" and <hpc:learningType <hpc:modelType ""Supervised"">>",0,1
,7,"get AI model having learning type ""Supervised"" and subject ""gradient decent""","get AI model having <hpc:learningType <hpc:modelType ""Supervised"">> and subject ""gradient decent""",0,0
,8,Get dataset with subject 'GPGPU',"Get dataset with <hpc:subject ""GPGPU"">",1,1
