memLocal,memAtomic,wgSize,coalesced
11,0,255,2
0,0,256,6
0,0,256,0
0,0,256,4
0,0,256,0
0,0,64,0
8,0,256,2
8,0,1024,2
4,0,256,2
14,0,128,4
2,0,256,2
13,0,64,3
0,0,256,3
0,0,256,1
0,0,256,1
0,0,256,4
0,0,62,3
0,0,32,3
0,0,60,3
0,0,44,3
0,0,64,12
0,0,32,12
0,0,60,12
0,0,48,12
0,0,64,2
0,0,32,2
0,0,60,2
0,0,48,2
0,0,62,107
0,0,32,107
0,0,60,107
0,0,44,107
0,0,62,107
0,0,32,107
0,0,60,107
0,0,44,107
0,0,62,87
0,0,32,87
0,0,60,87
0,0,44,87
0,0,62,2
0,0,32,2
0,0,60,2
0,0,44,2
8,0,6,2
8,0,10,2
8,0,1,2
8,0,2,2
0,0,64,1
0,0,32,1
0,0,60,1
0,0,48,1
0,0,62,112
0,0,32,112
0,0,60,112
0,0,44,112
0,0,62,112
0,0,32,112
0,0,60,112
0,0,44,112
0,0,62,112
0,0,32,112
0,0,60,112
0,0,44,112
0,0,62,2
0,0,32,2
0,0,60,2
0,0,44,2
0,0,64,1
0,0,32,1
0,0,60,1
0,0,48,1
0,0,64,40
0,0,32,40
0,0,60,40
0,0,48,40
0,0,64,28
0,0,32,28
0,0,60,28
0,0,48,28
0,0,64,28
0,0,32,28
0,0,60,28
0,0,48,28
0,0,64,28
0,0,32,28
0,0,60,28
0,0,48,28
8,0,6,2
8,0,10,2
8,0,1,2
8,0,2,2
0,0,62,232
0,0,32,232
0,0,60,232
0,0,44,232
0,0,64,61
0,0,32,61
0,0,60,61
0,0,48,61
0,0,64,5
0,0,32,5
0,0,60,5
0,0,44,5
0,0,62,203
0,0,32,203
0,0,60,203
0,0,44,203
0,0,62,233
0,0,32,233
0,0,60,233
0,0,44,233
0,0,64,61
0,0,32,61
0,0,60,61
0,0,48,61
0,0,64,5
0,0,32,5
0,0,60,5
0,0,44,5
0,0,62,203
0,0,32,203
0,0,60,203
0,0,44,203
0,0,62,232
0,0,32,232
0,0,60,232
0,0,44,232
0,0,64,61
0,0,32,61
0,0,60,61
0,0,48,61
0,0,64,5
0,0,32,5
0,0,60,5
0,0,44,5
0,0,62,203
0,0,32,203
0,0,60,203
0,0,44,203
0,0,128,5
0,0,128,5
0,0,128,5
0,0,128,5
0,0,128,5
0,0,256,1
0,0,256,1
0,0,256,1
0,0,256,1
0,0,256,1
0,0,256,1
0,0,256,1
0,0,256,1
0,0,256,1
0,0,256,1
0,0,64,4
0,0,64,4
0,0,64,4
0,0,64,4
0,0,64,4
0,0,128,1
0,0,128,1
0,0,128,1
0,0,128,1
0,0,128,1
0,0,128,4
0,0,128,4
0,0,128,4
0,0,128,4
0,0,128,4
0,0,32,5
0,0,32,5
0,0,32,5
0,0,32,5
0,0,32,5
0,0,32,13
0,0,32,13
0,0,32,13
0,0,32,13
0,0,32,13
0,0,32,5
0,0,32,5
0,0,32,5
0,0,32,5
0,0,32,5
0,0,128,30
0,0,128,30
0,0,128,30
0,0,128,30
0,0,128,30
0,0,32,8
0,0,32,8
0,0,32,8
0,0,32,8
0,0,32,8
0,0,32,6
0,0,32,6
0,0,32,6
0,0,32,6
0,0,32,6
0,0,128,10
0,0,128,10
0,0,128,10
0,0,128,10
0,0,128,10
0,0,128,4
0,0,128,4
0,0,128,4
0,0,128,4
0,0,128,4
13,0,64,2
13,0,64,2
13,0,64,2
13,0,64,2
4,0,48,4
4,0,48,4
4,0,48,4
4,0,48,4
4,0,48,4
4,0,48,4
4,0,48,4
4,0,48,4
4,0,48,4
4,0,48,4
4,0,48,4
4,0,48,4
14,0,32,2
14,0,32,2
14,0,32,2
14,0,32,2
0,0,64,0
0,0,64,0
0,0,64,0
0,0,64,0
0,0,26,2
0,0,26,2
0,0,6,2
0,0,12,2
0,0,64,13
0,0,64,13
0,0,64,13
0,0,64,13
0,0,64,3
0,0,64,3
0,0,64,3
0,0,64,3
0,0,53,165
0,0,30,165
0,0,60,165
0,0,40,165
0,0,52,165
0,0,53,159
0,0,30,159
0,0,60,159
0,0,40,159
0,0,52,159
0,0,64,15
0,0,32,15
0,0,64,15
0,0,60,15
0,0,33,15
0,0,62,101
0,0,32,101
0,0,64,101
0,0,60,101
0,0,62,101
0,0,62,101
0,0,32,101
0,0,64,101
0,0,60,101
0,0,62,101
0,0,62,88
0,0,32,88
0,0,64,88
0,0,60,88
0,0,62,88
8,0,1,15
8,0,1,15
8,0,1,15
8,0,1,15
8,0,1,15
8,0,6,3
8,0,10,3
8,0,16,3
8,0,1,3
8,0,2,3
0,0,62,18
0,0,32,18
0,0,64,18
0,0,60,18
0,0,62,18
0,0,62,18
0,0,32,18
0,0,64,18
0,0,60,18
0,0,62,18
0,0,61,18
0,0,32,18
0,0,64,18
0,0,63,18
0,0,60,18
2,0,6,8
2,0,10,8
2,0,16,8
2,0,1,8
2,0,2,8
0,0,64,11
0,0,32,11
0,0,64,11
0,0,60,11
0,0,33,11
0,0,62,71
0,0,32,71
0,0,64,71
0,0,60,71
0,0,62,71
0,0,62,71
0,0,32,71
0,0,64,71
0,0,60,71
0,0,62,71
0,0,62,69
0,0,32,69
0,0,64,69
0,0,60,69
0,0,62,69
0,0,64,28
0,0,32,28
0,0,64,28
0,0,60,28
0,0,33,28
0,0,60,28
0,0,30,28
0,0,60,28
0,0,60,28
0,0,60,28
0,0,60,28
0,0,30,28
0,0,60,28
0,0,60,28
0,0,60,28
0,0,62,79
0,0,32,79
0,0,64,79
0,0,60,79
0,0,62,79
0,0,62,2
0,0,32,2
0,0,64,2
0,0,60,2
0,0,62,2
0,0,62,3
0,0,32,3
0,0,64,3
0,0,60,3
0,0,62,3
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
0,0,32,0
13,0,38,5
13,0,38,5
13,0,10,5
13,0,23,5
11,0,128,2
11,0,128,2
11,0,128,2
11,0,128,2
11,0,128,2
6,0,66,3
6,0,66,3
6,0,14,3
6,0,38,3
7,0,105,3
7,0,99,3
7,0,176,3
7,0,21,3
7,0,60,3
6,0,37,9
6,0,37,9
6,0,8,9
6,0,22,9
0,0,64,0
0,0,64,0
0,0,64,0
0,0,64,0
0,0,64,0
0,0,4,3
0,0,4,3
0,0,4,3
0,0,4,3
0,0,4,3
0,0,4,98
0,0,4,98
0,0,4,98
0,0,4,98
0,0,4,98
0,0,64,0
0,0,64,0
0,0,64,0
0,0,64,0
0,0,64,0
0,0,62,3
0,0,32,3
0,0,64,3
0,0,60,3
0,0,34,3
0,0,64,12
0,0,32,12
0,0,64,12
0,0,60,12
0,0,36,12
0,0,64,2
0,0,32,2
0,0,64,2
0,0,60,2
0,0,36,2
0,0,62,107
0,0,32,107
0,0,64,107
0,0,60,107
0,0,34,107
0,0,62,107
0,0,32,107
0,0,64,107
0,0,60,107
0,0,34,107
0,0,62,87
0,0,32,87
0,0,64,87
0,0,60,87
0,0,34,87
0,0,62,2
0,0,32,2
0,0,64,2
0,0,60,2
0,0,34,2
8,0,6,2
8,0,10,2
8,0,16,2
8,0,1,2
8,0,3,2
0,0,64,1
0,0,32,1
0,0,64,1
0,0,60,1
0,0,36,1
0,0,62,112
0,0,32,112
0,0,64,112
0,0,60,112
0,0,34,112
0,0,62,112
0,0,32,112
0,0,64,112
0,0,60,112
0,0,34,112
0,0,62,112
0,0,32,112
0,0,64,112
0,0,60,112
0,0,34,112
0,0,62,2
0,0,32,2
0,0,64,2
0,0,60,2
0,0,34,2
0,0,64,1
0,0,32,1
0,0,64,1
0,0,60,1
0,0,36,1
0,0,64,40
0,0,32,40
0,0,64,40
0,0,60,40
0,0,36,40
0,0,64,28
0,0,32,28
0,0,64,28
0,0,60,28
0,0,36,28
0,0,64,28
0,0,32,28
0,0,64,28
0,0,60,28
0,0,36,28
0,0,64,28
0,0,32,28
0,0,64,28
0,0,60,28
0,0,36,28
0,0,62,10
0,0,32,10
0,0,64,10
0,0,60,10
0,0,34,10
0,0,62,10
0,0,32,10
0,0,64,10
0,0,60,10
0,0,34,10
8,0,6,2
8,0,10,2
8,0,16,2
8,0,1,2
8,0,3,2
0,0,62,16
0,0,32,16
0,0,64,16
0,0,60,16
0,0,34,16
0,0,62,16
0,0,32,16
0,0,64,16
0,0,60,16
